               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081279,            0.037731,            0.021961,              0.5291,             0.49169,             0.47616,             0.19848,             0.05676,            0.020867,           0.0062159,            0.070462,           0.0032821,           0.0032821
                   1,            0.059698,            0.027293,           0.0068704,             0.52613,              0.7014,             0.60938,             0.23654,            0.067582,            0.011978,           0.0036061,            0.040396,           0.0065499,           0.0065499
                   2,            0.057193,            0.022021,           0.0053378,             0.57822,             0.74089,             0.68197,             0.33338,            0.056111,            0.011629,           0.0035966,            0.010265,           0.0097517,           0.0097517
                   3,            0.050509,            0.019787,           0.0039861,             0.64965,             0.82237,             0.77502,             0.38137,            0.043797,            0.011608,           0.0031836,            0.009703,            0.009703,            0.009703
                   4,            0.042975,            0.018625,           0.0033755,             0.62937,             0.89523,             0.76026,             0.39265,            0.044068,            0.011054,           0.0029862,            0.009703,            0.009703,            0.009703
                   5,            0.036539,            0.016542,            0.003418,             0.74472,             0.91236,              0.8946,             0.55968,            0.036404,            0.010695,           0.0030492,            0.009604,            0.009604,            0.009604
                   6,            0.035696,            0.016979,           0.0027357,             0.77181,             0.93869,             0.88522,             0.53053,            0.035605,            0.010916,           0.0032731,            0.009505,            0.009505,            0.009505
                   7,            0.034293,            0.017028,           0.0025335,             0.84603,             0.88083,             0.90874,              0.5986,            0.035308,            0.011498,           0.0031113,            0.009406,            0.009406,            0.009406
                   8,            0.032953,            0.016395,           0.0025796,             0.80657,             0.90745,             0.90399,             0.57391,            0.037319,            0.010904,           0.0027803,            0.009307,            0.009307,            0.009307
                   9,            0.031416,             0.01653,           0.0016988,             0.87973,             0.93899,             0.91998,             0.58417,            0.035683,            0.010932,           0.0026819,            0.009208,            0.009208,            0.009208
                  10,            0.031211,            0.016407,           0.0022336,              0.9079,             0.93771,             0.94117,             0.62983,            0.032363,            0.010357,           0.0027108,            0.009109,            0.009109,            0.009109
                  11,            0.029442,             0.01584,            0.002316,             0.89229,             0.92126,             0.91979,             0.63614,             0.03211,            0.011237,           0.0027896,             0.00901,             0.00901,             0.00901
                  12,            0.028802,            0.016697,             0.00203,             0.90346,             0.91576,             0.92485,             0.65395,            0.031034,            0.010807,           0.0027365,            0.008911,            0.008911,            0.008911
                  13,            0.028119,            0.015563,           0.0019156,             0.88324,              0.9149,             0.93239,             0.63948,            0.032882,            0.011083,           0.0027064,            0.008812,            0.008812,            0.008812
                  14,            0.027571,            0.016253,           0.0018652,             0.90171,             0.91397,             0.91821,             0.66734,            0.031605,            0.011094,           0.0069621,            0.008713,            0.008713,            0.008713
                  15,            0.027204,            0.015043,            0.001998,             0.87431,             0.92952,             0.92568,             0.66784,            0.030973,            0.010936,           0.0027699,            0.008614,            0.008614,            0.008614
                  16,            0.026509,            0.014829,           0.0016662,             0.89951,             0.92059,             0.92505,             0.63477,            0.035555,            0.010812,           0.0027954,            0.008515,            0.008515,            0.008515
                  17,            0.026103,            0.015244,           0.0015167,             0.88988,             0.91295,             0.91713,             0.64561,             0.03133,            0.011195,           0.0028776,            0.008416,            0.008416,            0.008416
                  18,            0.026895,            0.015396,           0.0016744,             0.88869,             0.93097,             0.93425,             0.65965,            0.030693,            0.010827,           0.0024691,            0.008317,            0.008317,            0.008317
                  19,            0.025858,            0.014909,           0.0015909,             0.87073,             0.92744,              0.9344,             0.66395,            0.031696,            0.011117,           0.0024748,            0.008218,            0.008218,            0.008218
                  20,            0.025044,            0.014755,           0.0012641,              0.8525,             0.92841,             0.93065,             0.67044,            0.032755,             0.01146,           0.0025607,            0.008119,            0.008119,            0.008119
                  21,            0.024927,             0.01436,           0.0012845,              0.8978,             0.90912,             0.91933,             0.66606,            0.030128,            0.010864,           0.0028014,             0.00802,             0.00802,             0.00802
                  22,            0.024214,             0.01409,           0.0015784,             0.88846,             0.92818,             0.93237,             0.68819,            0.029629,            0.011153,            0.002442,            0.007921,            0.007921,            0.007921
                  23,            0.024319,            0.014782,            0.001264,             0.89313,             0.92286,             0.92126,             0.67417,             0.02915,            0.010729,           0.0025416,            0.007822,            0.007822,            0.007822
                  24,            0.022676,            0.014362,           0.0014558,             0.89641,             0.92611,             0.92853,             0.67044,             0.02965,            0.010605,           0.0035244,            0.007723,            0.007723,            0.007723
                  25,             0.02332,            0.014345,           0.0017946,             0.89863,             0.93935,             0.91385,             0.66733,            0.029126,            0.011266,           0.0022439,            0.007624,            0.007624,            0.007624
                  26,             0.02311,            0.013416,            0.001245,             0.89269,             0.91964,             0.91894,             0.67294,             0.02882,            0.011325,           0.0024068,            0.007525,            0.007525,            0.007525
                  27,            0.022822,             0.01381,            0.001189,             0.87962,             0.94049,             0.92524,             0.66847,            0.029215,            0.010871,           0.0023004,            0.007426,            0.007426,            0.007426
                  28,            0.022588,             0.01407,           0.0013626,             0.89968,             0.92222,             0.93497,             0.66494,            0.029938,            0.011305,           0.0022285,            0.007327,            0.007327,            0.007327
                  29,             0.02172,            0.013841,           0.0012312,             0.90399,             0.91717,             0.92958,             0.69874,            0.029682,            0.011156,           0.0024503,            0.007228,            0.007228,            0.007228
                  30,            0.022547,            0.013565,           0.0010211,             0.90179,             0.90943,             0.92454,             0.69098,            0.029843,            0.011182,           0.0027627,            0.007129,            0.007129,            0.007129
                  31,            0.021879,            0.013618,           0.0011555,             0.91182,             0.91913,             0.93795,             0.67468,            0.029639,            0.011271,           0.0027107,             0.00703,             0.00703,             0.00703
                  32,            0.021301,            0.013001,           0.0012362,             0.88155,             0.92376,             0.94055,             0.70768,            0.028839,            0.011217,           0.0024762,            0.006931,            0.006931,            0.006931
                  33,            0.021174,            0.013443,           0.0010356,             0.90673,             0.92042,             0.93055,             0.67351,            0.030112,            0.011424,           0.0026399,            0.006832,            0.006832,            0.006832
                  34,            0.020968,            0.013458,           0.0010702,             0.90337,             0.92786,             0.93251,             0.69021,            0.029143,            0.010965,           0.0025494,            0.006733,            0.006733,            0.006733
                  35,            0.019864,            0.013071,          0.00092098,             0.91087,             0.93376,             0.93729,              0.6984,             0.02916,            0.011316,           0.0024192,            0.006634,            0.006634,            0.006634
                  36,            0.020816,            0.012688,          0.00085915,             0.90461,              0.9331,             0.94287,             0.69989,            0.029278,            0.011093,           0.0025099,            0.006535,            0.006535,            0.006535
                  37,            0.019828,            0.012699,          0.00086139,             0.90192,             0.92758,               0.939,             0.69227,            0.029943,              0.0112,           0.0023461,            0.006436,            0.006436,            0.006436
                  38,            0.020054,            0.012869,          0.00094723,             0.90832,             0.92569,             0.93784,             0.70199,            0.029925,            0.010931,           0.0023265,            0.006337,            0.006337,            0.006337
                  39,            0.019782,            0.012593,          0.00086023,             0.90568,             0.94378,             0.94238,             0.71093,            0.029462,            0.011133,           0.0024403,            0.006238,            0.006238,            0.006238
                  40,            0.019364,            0.012273,            0.000831,             0.88884,             0.91291,             0.92863,             0.69559,            0.029639,            0.011462,           0.0027586,            0.006139,            0.006139,            0.006139
                  41,            0.018898,            0.012444,          0.00087547,              0.9019,             0.93097,             0.94273,             0.70463,            0.028527,            0.011697,           0.0023622,             0.00604,             0.00604,             0.00604
                  42,            0.019117,            0.012196,          0.00086707,             0.89367,             0.92394,             0.93689,             0.71088,            0.029069,            0.011159,           0.0021529,            0.005941,            0.005941,            0.005941
                  43,             0.01938,            0.012319,          0.00080322,             0.88384,             0.92238,              0.9328,             0.70328,            0.028691,            0.011271,           0.0024887,            0.005842,            0.005842,            0.005842
                  44,            0.018154,            0.011514,          0.00077931,              0.9123,             0.90027,             0.93152,             0.72038,            0.029127,            0.011692,           0.0024202,            0.005743,            0.005743,            0.005743
