               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11591,            0.038612,            0.029613,           0.0023644,                0.35,           0.0016679,          0.00030449,            0.096629,            0.044002,            0.028054,              0.0901,              0.0011,              0.0011
                   1,            0.089193,            0.047317,            0.023358,           0.0076399,               0.975,            0.089521,            0.021507,            0.073452,            0.046704,            0.022155,            0.079277,           0.0022772,           0.0022772
                   2,            0.074742,            0.043704,            0.018029,             0.39979,                 0.9,             0.71738,             0.19799,            0.064045,              0.0393,            0.015291,            0.068431,           0.0034307,           0.0034307
                   3,            0.070392,            0.035951,            0.012653,             0.38755,                0.95,             0.69842,             0.21764,            0.069544,            0.029455,           0.0082566,             0.05756,           0.0045604,           0.0045604
                   4,            0.072181,            0.027769,           0.0086513,               0.266,               0.675,             0.35183,               0.106,            0.092435,            0.023614,           0.0059621,            0.046666,           0.0056664,           0.0056664
                   5,            0.080023,            0.023417,            0.007266,             0.64984,                0.85,             0.67905,             0.33601,            0.090841,            0.019222,           0.0053693,            0.035749,           0.0067485,           0.0067485
                   6,            0.082922,            0.019798,           0.0066535,             0.79112,                0.85,             0.83407,             0.31682,            0.079359,            0.019298,           0.0059934,            0.024807,            0.007807,            0.007807
                   7,            0.075501,             0.02196,           0.0079983,             0.50041,             0.85187,             0.71116,             0.21429,            0.078428,            0.019033,           0.0056832,            0.013842,           0.0088416,           0.0088416
                   8,            0.078801,             0.01891,           0.0066796,             0.89987,               0.725,             0.77504,                0.32,            0.085143,            0.016703,            0.004403,            0.009208,            0.009208,            0.009208
                   9,            0.077629,            0.016848,           0.0063521,             0.58656,             0.83352,             0.71569,             0.36825,            0.074927,             0.01717,           0.0040907,            0.009208,            0.009208,            0.009208
                  10,               0.066,            0.017951,            0.005588,              0.6553,             0.95226,             0.76471,             0.35022,            0.079951,             0.01768,           0.0035456,            0.009109,            0.009109,            0.009109
                  11,            0.065071,            0.017175,           0.0050466,             0.52205,                   1,             0.86283,             0.42749,            0.063978,            0.017154,           0.0034062,             0.00901,             0.00901,             0.00901
                  12,            0.058883,            0.015281,            0.004788,             0.56387,                0.85,              0.7859,              0.3453,            0.064912,            0.015992,           0.0034379,            0.008911,            0.008911,            0.008911
                  13,            0.057076,            0.015226,           0.0049517,             0.75799,             0.83195,             0.83718,              0.4671,            0.064605,            0.013613,           0.0037716,            0.008812,            0.008812,            0.008812
                  14,            0.057602,            0.013718,           0.0045951,              0.6218,              0.7998,             0.88071,             0.40495,            0.056818,            0.014641,           0.0033876,            0.008713,            0.008713,            0.008713
                  15,            0.049571,            0.014515,           0.0049101,             0.65017,             0.78553,             0.80973,             0.52617,            0.049645,            0.013641,            0.003421,            0.008614,            0.008614,            0.008614
                  16,            0.047052,            0.013693,           0.0041176,             0.70167,               0.925,             0.77852,             0.37437,             0.04615,            0.013921,            0.003275,            0.008515,            0.008515,            0.008515
                  17,            0.042514,            0.012862,           0.0040772,             0.74035,                   1,               0.951,             0.67783,            0.048157,             0.01247,           0.0034342,            0.008416,            0.008416,            0.008416
                  18,            0.043613,            0.013267,           0.0040822,             0.74325,                   1,             0.96835,             0.44645,            0.044767,            0.013279,           0.0032021,            0.008317,            0.008317,            0.008317
                  19,            0.041332,            0.012761,           0.0035767,              0.6968,                   1,             0.96163,             0.48586,            0.042596,            0.011791,           0.0032165,            0.008218,            0.008218,            0.008218
                  20,            0.039084,            0.011818,           0.0034487,             0.66942,                   1,             0.93749,             0.46232,            0.043434,            0.012338,           0.0037817,            0.008119,            0.008119,            0.008119
                  21,            0.039708,            0.011499,           0.0034941,             0.97039,                   1,               0.995,             0.72079,            0.035956,            0.010877,           0.0035105,             0.00802,             0.00802,             0.00802
