               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12077,            0.036072,            0.029634,                   0,                   0,                   0,                   0,             0.10964,             0.03908,            0.027173,              0.0901,              0.0011,              0.0011
                   1,             0.11585,            0.039889,            0.028162,                   0,                   0,                   0,                   0,             0.10772,            0.039686,            0.027152,            0.079277,           0.0022772,           0.0022772
                   2,              0.1138,            0.038327,            0.028223,                   0,                   0,                   0,                   0,             0.10563,            0.040385,             0.02714,            0.068431,           0.0034307,           0.0034307
                   3,             0.10896,             0.04028,            0.027618,                   0,                   0,                   0,                   0,             0.10306,            0.041234,            0.027126,             0.05756,           0.0045604,           0.0045604
                   4,             0.10665,            0.040424,            0.027534,                   0,                   0,                   0,                   0,             0.10067,            0.042017,            0.027112,            0.046666,           0.0056664,           0.0056664
                   5,             0.10427,            0.042412,            0.027384,                   0,                   0,                   0,                   0,            0.098527,             0.04276,            0.027089,            0.035749,           0.0067485,           0.0067485
                   6,             0.10015,            0.041288,            0.027218,                   0,                   0,                   0,                   0,            0.096523,            0.043456,            0.027041,            0.024807,            0.007807,            0.007807
                   7,            0.099126,             0.04611,            0.026895,                   0,                   0,                   0,                   0,             0.10011,            0.041234,            0.027629,            0.013842,           0.0088416,           0.0088416
                   8,            0.095254,            0.045835,             0.02682,                   0,                   0,                   0,                   0,             0.13494,            0.021873,            0.034421,            0.009208,            0.009208,            0.009208
                   9,             0.09304,            0.041957,             0.02636,                   0,                   0,                   0,                   0,              0.1421,            0.018941,            0.044467,            0.009208,            0.009208,            0.009208
                  10,            0.092224,            0.041898,            0.025285,          0.00060024,                0.05,          0.00037481,          0.00010651,              0.1387,             0.04383,             0.11587,            0.009109,            0.009109,            0.009109
                  11,             0.09047,            0.039586,            0.024212,            0.001354,               0.175,          0.00088031,           0.0002667,             0.12616,             0.25656,            0.091554,             0.00901,             0.00901,             0.00901
                  12,            0.088185,            0.039665,            0.023232,           0.0037804,               0.575,           0.0043781,           0.0015223,            0.098015,            0.079303,            0.024796,            0.008911,            0.008911,            0.008911
                  13,            0.082972,            0.036664,            0.022036,            0.010492,               0.675,           0.0098282,           0.0021652,             0.10155,             0.16358,            0.016214,            0.008812,            0.008812,            0.008812
                  14,            0.079797,            0.037929,            0.020681,            0.025093,               0.575,            0.022731,           0.0066004,            0.099835,             0.12773,            0.016326,            0.008713,            0.008713,            0.008713
                  15,            0.075476,            0.039238,            0.018652,             0.35655,               0.525,             0.39367,             0.13758,            0.095235,             0.32721,            0.013964,            0.008614,            0.008614,            0.008614
                  16,            0.074975,            0.034885,            0.016132,             0.80394,             0.29917,               0.448,             0.12613,            0.079383,             0.10679,            0.012295,            0.008515,            0.008515,            0.008515
                  17,            0.071623,            0.032318,            0.013522,             0.32163,               0.675,             0.42375,              0.1067,            0.086515,             0.20119,           0.0087621,            0.008416,            0.008416,            0.008416
                  18,            0.068958,            0.033777,            0.011979,             0.46948,               0.625,             0.63063,             0.17139,            0.076208,             0.21642,            0.007454,            0.008317,            0.008317,            0.008317
                  19,            0.068077,            0.033184,            0.010411,             0.52941,               0.475,             0.50091,             0.16806,            0.067922,             0.15467,           0.0094187,            0.008218,            0.008218,            0.008218
                  20,            0.063908,            0.031437,             0.00926,              0.4116,             0.46588,             0.55836,             0.13643,            0.077423,             0.30589,           0.0086144,            0.008119,            0.008119,            0.008119
                  21,            0.062224,            0.031294,           0.0079031,             0.46186,                 0.6,             0.58831,             0.20252,            0.074392,            0.092181,           0.0060732,             0.00802,             0.00802,             0.00802
                  22,            0.060044,            0.028897,           0.0069438,             0.59752,               0.675,             0.75299,             0.35829,            0.057713,            0.081628,           0.0060675,            0.007921,            0.007921,            0.007921
                  23,             0.05937,            0.028588,           0.0059391,             0.44846,                0.75,             0.55765,             0.19834,            0.077056,            0.073283,           0.0048849,            0.007822,            0.007822,            0.007822
                  24,            0.058115,            0.027693,            0.006292,             0.79319,               0.775,             0.82809,             0.47224,             0.05182,            0.039046,            0.004353,            0.007723,            0.007723,            0.007723
                  25,            0.056286,            0.028122,           0.0058611,             0.81254,             0.76022,             0.82684,             0.29166,            0.061992,            0.050549,           0.0041979,            0.007624,            0.007624,            0.007624
                  26,            0.053426,            0.027702,           0.0051888,             0.60329,             0.75954,             0.79522,             0.40725,            0.051971,            0.051421,           0.0045552,            0.007525,            0.007525,            0.007525
                  27,             0.05352,            0.027008,           0.0050705,             0.88917,                 0.8,             0.88103,             0.41538,            0.060498,            0.051815,           0.0035199,            0.007426,            0.007426,            0.007426
                  28,            0.049322,            0.026169,           0.0042379,             0.81801,             0.93311,             0.90406,             0.51778,            0.047475,            0.026563,           0.0035302,            0.007327,            0.007327,            0.007327
                  29,            0.049404,              0.0248,           0.0041353,             0.96274,             0.91921,              0.9617,             0.33892,            0.055837,            0.024927,           0.0036693,            0.007228,            0.007228,            0.007228
