               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10537,            0.036619,            0.027643,          0.00086064,             0.25904,          0.00064554,          0.00019594,             0.10004,            0.029008,            0.026902,            0.070462,           0.0032821,           0.0032821
                   1,            0.097728,            0.037561,            0.027046,          0.00050833,             0.10838,            0.001122,          0.00017092,            0.094629,            0.028446,            0.026663,            0.040396,           0.0065499,           0.0065499
                   2,            0.091234,            0.036299,            0.025749,          0.00070292,            0.092039,          0.00039644,          7.7254e-05,             0.12751,              1.0431,             0.14233,            0.010265,           0.0097517,           0.0097517
                   3,            0.085348,            0.037178,            0.022577,            0.070191,             0.05625,            0.029402,           0.0066579,            0.099493,            0.020994,            0.019439,            0.009703,            0.009703,            0.009703
                   4,            0.078781,            0.037975,            0.019059,             0.04261,              0.1908,            0.025092,           0.0053277,             0.08365,            0.025816,            0.018265,            0.009703,            0.009703,            0.009703
                   5,            0.068887,            0.036281,            0.017024,             0.12365,             0.19672,             0.10094,            0.026691,            0.072345,            0.033843,             0.01173,            0.009604,            0.009604,            0.009604
                   6,            0.065424,            0.037783,            0.015257,             0.38722,             0.27609,              0.2722,              0.1031,            0.068828,            0.026677,            0.013133,            0.009505,            0.009505,            0.009505
                   7,            0.061205,            0.034572,            0.014009,             0.45764,             0.34112,             0.35494,             0.12195,            0.063148,            0.025068,            0.010018,            0.009406,            0.009406,            0.009406
                   8,            0.057393,            0.033059,            0.012452,             0.79135,             0.39098,              0.4448,             0.18978,            0.060387,            0.019921,           0.0079085,            0.009307,            0.009307,            0.009307
                   9,            0.055183,            0.031308,            0.011342,             0.52925,             0.42867,             0.48767,             0.22396,             0.05909,            0.019246,           0.0078557,            0.009208,            0.009208,            0.009208
                  10,             0.05196,            0.030623,            0.010114,             0.68524,             0.51166,             0.58615,             0.28495,            0.054793,              0.0179,           0.0083599,            0.009109,            0.009109,            0.009109
                  11,            0.051181,            0.030811,           0.0094025,             0.63888,             0.51844,             0.58375,             0.26187,            0.056235,             0.01798,           0.0069788,             0.00901,             0.00901,             0.00901
                  12,            0.049116,            0.028168,           0.0082108,             0.64009,             0.49397,             0.58386,             0.29705,            0.053439,            0.018914,           0.0077915,            0.008911,            0.008911,            0.008911
                  13,            0.047857,             0.02834,           0.0084678,             0.69104,             0.51457,             0.59752,             0.30532,            0.052411,            0.017622,           0.0062731,            0.008812,            0.008812,            0.008812
                  14,            0.047269,              0.0289,           0.0078009,             0.60915,             0.61446,               0.639,             0.33847,            0.050784,            0.017249,            0.009122,            0.008713,            0.008713,            0.008713
                  15,            0.046032,            0.029211,           0.0075684,             0.60175,             0.56247,             0.62072,             0.32996,            0.049399,            0.016812,           0.0073882,            0.008614,            0.008614,            0.008614
                  16,             0.04584,            0.026308,           0.0074263,             0.76076,             0.58534,             0.69432,             0.38642,            0.047167,            0.016844,           0.0057348,            0.008515,            0.008515,            0.008515
                  17,            0.043814,            0.027942,           0.0071991,             0.69044,             0.54931,             0.63505,             0.32274,            0.048968,            0.016772,           0.0063526,            0.008416,            0.008416,            0.008416
                  18,            0.042443,            0.026509,           0.0065072,              0.6878,             0.67231,             0.71871,              0.3929,            0.046193,            0.016361,           0.0061197,            0.008317,            0.008317,            0.008317
                  19,            0.041722,            0.026772,           0.0061447,             0.75132,             0.70439,             0.74316,             0.40278,            0.045993,            0.016337,           0.0052165,            0.008218,            0.008218,            0.008218
                  20,            0.042574,            0.026148,            0.005826,             0.72497,             0.68191,             0.72744,             0.36975,            0.050835,            0.015231,           0.0064706,            0.008119,            0.008119,            0.008119
                  21,            0.040831,            0.027418,           0.0056937,             0.65337,             0.70782,             0.72814,             0.39173,            0.045732,            0.014954,           0.0044998,             0.00802,             0.00802,             0.00802
                  22,            0.040427,            0.025352,           0.0059519,             0.76368,             0.73555,              0.8005,             0.44153,            0.043817,            0.015064,           0.0047987,            0.007921,            0.007921,            0.007921
                  23,            0.038555,            0.025083,           0.0054256,             0.75915,              0.7958,             0.80324,             0.46601,            0.043598,            0.015256,           0.0048774,            0.007822,            0.007822,            0.007822
