               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084105,            0.034342,            0.023255,              0.4645,             0.52228,             0.43784,             0.17275,            0.062264,             0.02134,           0.0074862,            0.070462,           0.0032821,           0.0032821
                   1,            0.058669,            0.027348,           0.0082731,             0.49032,             0.64276,             0.52584,             0.26567,            0.067109,             0.01261,           0.0037696,            0.040396,           0.0065499,           0.0065499
                   2,            0.056778,            0.022348,           0.0055292,             0.55552,             0.65182,               0.612,             0.27697,            0.060593,            0.011549,           0.0040137,            0.010265,           0.0097517,           0.0097517
                   3,             0.05128,            0.020321,           0.0045988,             0.73192,             0.81317,             0.82399,             0.41588,             0.04857,            0.011315,           0.0034666,            0.009703,            0.009703,            0.009703
                   4,            0.044045,            0.019178,           0.0035439,             0.73116,             0.92314,             0.84648,              0.4676,            0.045633,            0.011607,           0.0029522,            0.009703,            0.009703,            0.009703
                   5,            0.037522,            0.016995,           0.0035358,             0.78747,             0.90853,             0.91014,             0.58423,            0.040887,            0.011265,           0.0034951,            0.009604,            0.009604,            0.009604
                   6,            0.035972,            0.017615,           0.0029164,             0.85767,             0.90778,             0.91757,             0.55082,            0.038534,            0.010792,           0.0030303,            0.009505,            0.009505,            0.009505
                   7,            0.034649,            0.017599,           0.0029458,             0.90342,             0.93935,             0.93835,             0.60655,            0.035088,            0.010888,           0.0027267,            0.009406,            0.009406,            0.009406
                   8,            0.033416,            0.016761,           0.0029324,             0.88376,             0.90384,             0.91586,             0.56951,            0.037074,            0.010818,           0.0029833,            0.009307,            0.009307,            0.009307
                   9,            0.031882,            0.016922,           0.0020201,             0.85503,             0.92005,             0.89518,             0.57145,            0.035534,            0.010995,           0.0028261,            0.009208,            0.009208,            0.009208
                  10,            0.032126,            0.017042,           0.0032132,             0.88701,              0.9312,             0.92963,             0.57386,            0.035039,            0.011265,           0.0028306,            0.009109,            0.009109,            0.009109
                  11,            0.030493,            0.016562,           0.0024226,             0.87263,              0.9206,             0.91781,             0.58097,            0.034441,            0.011343,           0.0027223,             0.00901,             0.00901,             0.00901
                  12,            0.030251,            0.017901,           0.0021844,             0.87828,             0.83567,             0.90928,             0.61969,            0.034427,            0.011462,            0.003422,            0.008911,            0.008911,            0.008911
                  13,             0.02863,            0.016392,           0.0021119,             0.87002,             0.93461,             0.93792,             0.61826,            0.033511,            0.011084,            0.002547,            0.008812,            0.008812,            0.008812
                  14,            0.028528,            0.016765,           0.0020162,             0.90175,             0.86616,             0.93645,             0.65602,            0.031666,            0.010832,           0.0029574,            0.008713,            0.008713,            0.008713
                  15,            0.026879,            0.015489,           0.0023253,             0.89344,             0.92362,             0.93375,             0.64296,            0.033019,            0.010844,           0.0028826,            0.008614,            0.008614,            0.008614
                  16,            0.027213,            0.015752,           0.0018659,             0.84788,             0.90978,             0.92301,             0.58814,            0.033961,            0.011144,           0.0041222,            0.008515,            0.008515,            0.008515
                  17,            0.026842,            0.016132,            0.001805,             0.93273,             0.86589,             0.92671,             0.60005,            0.034981,            0.011678,           0.0030606,            0.008416,            0.008416,            0.008416
                  18,            0.027614,            0.016381,           0.0017425,             0.90846,             0.93589,             0.95197,             0.67529,            0.030092,            0.010481,           0.0026802,            0.008317,            0.008317,            0.008317
                  19,            0.026552,            0.015389,           0.0017638,             0.89071,             0.91675,             0.93754,             0.66738,            0.032471,             0.01104,           0.0027215,            0.008218,            0.008218,            0.008218
                  20,            0.025596,             0.01558,           0.0014498,             0.89224,             0.91714,             0.94051,             0.64923,             0.03305,            0.011373,           0.0025596,            0.008119,            0.008119,            0.008119
                  21,            0.026099,            0.015454,           0.0014446,             0.89755,             0.90931,             0.93585,             0.69537,            0.030624,            0.010822,           0.0025115,             0.00802,             0.00802,             0.00802
                  22,            0.025073,            0.014517,           0.0013467,             0.91327,             0.92126,             0.92346,             0.63362,            0.031419,            0.011338,           0.0024357,            0.007921,            0.007921,            0.007921
                  23,            0.024865,            0.015723,           0.0013341,             0.89664,             0.90779,             0.92738,             0.68861,            0.030459,            0.010985,           0.0021704,            0.007822,            0.007822,            0.007822
                  24,            0.024257,            0.015035,           0.0012358,             0.87938,              0.9397,             0.93299,             0.67919,             0.03003,             0.01066,           0.0025738,            0.007723,            0.007723,            0.007723
                  25,            0.023874,            0.014939,           0.0014994,             0.87044,             0.91599,               0.933,             0.69356,            0.029106,            0.011033,           0.0025391,            0.007624,            0.007624,            0.007624
                  26,            0.022911,            0.013843,           0.0014879,             0.87032,             0.92582,             0.93143,             0.68144,            0.029149,            0.010765,           0.0026377,            0.007525,            0.007525,            0.007525
                  27,             0.02356,            0.014267,           0.0012168,             0.87497,             0.93059,             0.93829,             0.67752,            0.031459,            0.010828,           0.0022638,            0.007426,            0.007426,            0.007426
                  28,            0.022586,            0.014559,           0.0015054,             0.90022,              0.9165,             0.93645,             0.66749,            0.030864,            0.011132,           0.0024557,            0.007327,            0.007327,            0.007327
                  29,            0.022144,            0.014391,           0.0013897,             0.89387,             0.89914,             0.91419,             0.67628,            0.028732,            0.011205,           0.0022374,            0.007228,            0.007228,            0.007228
                  30,            0.023324,            0.014335,           0.0012469,             0.89569,             0.90518,             0.92678,             0.68168,            0.029847,            0.010977,           0.0024386,            0.007129,            0.007129,            0.007129
                  31,            0.022314,             0.01423,           0.0011917,             0.91117,             0.91499,             0.94279,             0.70088,            0.029076,            0.010249,           0.0023112,             0.00703,             0.00703,             0.00703
                  32,             0.02253,            0.013586,           0.0012312,             0.92082,             0.90242,             0.93188,             0.69169,            0.028584,            0.010643,           0.0021726,            0.006931,            0.006931,            0.006931
                  33,            0.021877,            0.014149,           0.0010675,             0.87971,             0.93587,             0.92982,             0.68171,            0.030088,            0.011185,           0.0027535,            0.006832,            0.006832,            0.006832
                  34,            0.021848,            0.013875,           0.0011628,             0.90369,             0.91075,             0.93139,             0.69695,            0.029481,            0.011071,           0.0024411,            0.006733,            0.006733,            0.006733
                  35,            0.020299,            0.013647,          0.00086748,             0.89249,             0.92433,             0.93391,             0.69517,            0.029804,            0.011225,            0.002612,            0.006634,            0.006634,            0.006634
                  36,            0.020778,            0.013291,           0.0009627,             0.87647,             0.92941,             0.93481,             0.71328,            0.029493,            0.011086,             0.00263,            0.006535,            0.006535,            0.006535
                  37,            0.020669,            0.013321,           0.0009868,             0.90529,             0.89981,             0.93068,             0.70439,            0.029623,            0.011754,           0.0025175,            0.006436,            0.006436,            0.006436
                  38,            0.020833,            0.013523,           0.0011712,             0.89223,             0.91847,             0.92731,             0.69925,            0.029504,            0.011228,           0.0026196,            0.006337,            0.006337,            0.006337
                  39,            0.020484,            0.013219,           0.0010027,             0.90847,             0.92775,             0.93693,             0.70872,            0.030174,             0.01137,            0.002404,            0.006238,            0.006238,            0.006238
                  40,            0.020427,            0.013065,          0.00090428,             0.90369,             0.91532,             0.93167,             0.69948,            0.028945,             0.01217,           0.0025665,            0.006139,            0.006139,            0.006139
                  41,            0.020155,            0.013203,          0.00097234,             0.88602,             0.92526,             0.93298,             0.69945,            0.029033,            0.011693,           0.0025254,             0.00604,             0.00604,             0.00604
                  42,            0.019779,            0.012808,          0.00092308,             0.85879,             0.94352,             0.92559,             0.69963,            0.029899,            0.010909,           0.0023734,            0.005941,            0.005941,            0.005941
                  43,            0.019937,            0.012983,          0.00084627,             0.87744,             0.93457,             0.92424,             0.69351,            0.028412,            0.011039,           0.0025885,            0.005842,            0.005842,            0.005842
                  44,             0.01883,             0.01224,          0.00082602,             0.90571,             0.91288,             0.92396,             0.70329,            0.029161,            0.011375,           0.0025253,            0.005743,            0.005743,            0.005743
                  45,            0.019784,             0.01309,           0.0008551,             0.93656,             0.90658,             0.93167,             0.71335,            0.029187,            0.011575,             0.00253,            0.005644,            0.005644,            0.005644
                  46,            0.019712,            0.012719,          0.00097825,             0.90057,             0.91402,             0.92004,             0.70519,            0.028741,            0.012164,           0.0025998,            0.005545,            0.005545,            0.005545
                  47,            0.018889,            0.012359,          0.00089641,             0.89715,             0.91247,             0.93184,             0.69148,            0.030914,            0.011876,           0.0024441,            0.005446,            0.005446,            0.005446
                  48,            0.018428,            0.012511,          0.00089194,              0.9145,             0.91373,             0.93256,             0.71855,            0.028936,            0.011365,             0.00243,            0.005347,            0.005347,            0.005347
                  49,            0.018207,            0.011963,          0.00074293,             0.90424,             0.91457,             0.93468,               0.714,            0.028844,            0.011885,           0.0024981,            0.005248,            0.005248,            0.005248
                  50,            0.018537,            0.012439,          0.00093774,             0.91638,             0.90432,             0.92927,             0.70345,            0.029405,            0.012249,           0.0024483,            0.005149,            0.005149,            0.005149
                  51,            0.017303,            0.012034,          0.00072195,             0.89328,             0.93165,             0.91534,             0.68713,            0.029328,            0.011944,           0.0024473,             0.00505,             0.00505,             0.00505
                  52,            0.018516,             0.01214,          0.00083814,             0.90745,             0.92341,              0.9242,             0.68606,            0.030355,            0.011553,           0.0025892,            0.004951,            0.004951,            0.004951
                  53,             0.01741,            0.011693,           0.0009144,             0.92857,             0.90812,             0.93369,             0.71404,            0.029888,            0.011934,            0.002618,            0.004852,            0.004852,            0.004852
                  54,            0.017713,            0.011958,          0.00076263,             0.89469,             0.93869,             0.93505,             0.70405,            0.029484,            0.011491,           0.0026534,            0.004753,            0.004753,            0.004753
                  55,            0.017794,            0.012865,          0.00061667,             0.90688,             0.93628,             0.93398,             0.71588,            0.029088,            0.011092,           0.0024529,            0.004654,            0.004654,            0.004654
                  56,            0.017579,            0.012101,          0.00069664,             0.89591,             0.92435,              0.9307,             0.70544,            0.030217,            0.011639,            0.002537,            0.004555,            0.004555,            0.004555
                  57,             0.01736,            0.011504,          0.00076888,             0.90995,             0.92126,             0.92943,             0.69399,            0.030388,            0.011652,           0.0024461,            0.004456,            0.004456,            0.004456
                  58,            0.017823,            0.011993,          0.00060573,             0.88929,             0.91941,             0.93009,             0.69735,            0.030616,            0.011403,           0.0026586,            0.004357,            0.004357,            0.004357
                  59,            0.017173,            0.011632,          0.00069863,             0.89587,             0.91639,             0.92248,             0.71219,            0.030393,            0.011605,           0.0026197,            0.004258,            0.004258,            0.004258
                  60,            0.016863,            0.011364,          0.00087937,             0.88465,              0.9107,             0.91734,             0.70989,             0.03066,            0.011907,           0.0026544,            0.004159,            0.004159,            0.004159
