               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11867,            0.032253,            0.028491,           0.0029683,               0.475,           0.0085177,           0.0017145,             0.10043,             0.03611,            0.024483,              0.0901,              0.0011,              0.0011
                   1,             0.09155,            0.040798,            0.023483,            0.037488,               0.875,             0.14811,            0.033767,            0.076837,             0.03978,            0.020867,            0.079277,           0.0022772,           0.0022772
                   2,            0.078052,            0.039383,            0.018798,             0.30239,                 0.5,             0.38176,            0.075575,            0.070858,            0.036097,            0.015213,            0.068431,           0.0034307,           0.0034307
                   3,             0.07308,            0.034018,            0.014303,             0.54221,             0.74941,             0.75611,             0.24344,            0.084769,            0.027467,           0.0096796,             0.05756,           0.0045604,           0.0045604
                   4,            0.070258,            0.028454,            0.010617,             0.89792,             0.81767,              0.8964,             0.31511,            0.075274,            0.027643,           0.0072715,            0.046666,           0.0056664,           0.0056664
                   5,            0.074764,            0.025847,            0.008876,             0.55182,               0.575,             0.62001,             0.28818,            0.085818,            0.021121,           0.0062173,            0.035749,           0.0067485,           0.0067485
                   6,            0.074443,            0.021264,           0.0074616,              0.7535,               0.925,             0.87681,             0.38887,            0.072796,            0.020641,           0.0056549,            0.024807,            0.007807,            0.007807
                   7,            0.073948,            0.021773,           0.0070443,             0.30275,             0.39652,             0.37292,             0.16637,              0.0872,              0.0208,           0.0046521,            0.013842,           0.0088416,           0.0088416
                   8,            0.078288,            0.019342,           0.0063127,             0.38203,                 0.7,             0.58849,             0.20346,            0.067515,            0.018111,           0.0045317,            0.009208,            0.009208,            0.009208
                   9,            0.068589,              0.0181,           0.0060163,             0.44316,                0.55,             0.47947,             0.14776,             0.07864,             0.01782,           0.0042233,            0.009208,            0.009208,            0.009208
                  10,            0.064266,             0.01746,           0.0059437,             0.58645,             0.96966,             0.81755,             0.34068,            0.064888,            0.019795,           0.0041499,            0.009109,            0.009109,            0.009109
                  11,            0.062414,            0.017516,           0.0054643,             0.46368,               0.975,              0.5205,             0.16568,            0.066495,            0.016867,           0.0048139,             0.00901,             0.00901,             0.00901
                  12,            0.062038,            0.015885,           0.0052369,             0.43705,               0.925,             0.50915,             0.23701,             0.06011,            0.016938,           0.0044205,            0.008911,            0.008911,            0.008911
                  13,            0.053421,            0.015299,           0.0053281,             0.56376,               0.975,             0.64944,              0.2726,            0.059964,            0.014822,           0.0046371,            0.008812,            0.008812,            0.008812
                  14,            0.053975,            0.015071,           0.0051626,             0.71955,             0.92383,             0.86211,             0.43908,            0.058518,            0.014797,            0.004211,            0.008713,            0.008713,            0.008713
                  15,            0.050272,            0.014895,           0.0045341,             0.64362,                 0.9,             0.90274,             0.41397,            0.052052,            0.013981,           0.0043737,            0.008614,            0.008614,            0.008614
                  16,             0.04605,            0.014076,           0.0042341,             0.42621,             0.97695,             0.85882,             0.49141,            0.049915,            0.013442,           0.0044739,            0.008515,            0.008515,            0.008515
                  17,            0.045154,            0.012832,           0.0041331,             0.69619,             0.92608,             0.86652,             0.50525,             0.04664,            0.013628,           0.0042819,            0.008416,            0.008416,            0.008416
                  18,            0.042367,            0.013637,           0.0038111,             0.68322,             0.92381,             0.85474,             0.46823,            0.045094,            0.012225,           0.0040834,            0.008317,            0.008317,            0.008317
                  19,            0.041952,            0.013109,           0.0037607,             0.98299,             0.95688,             0.99381,             0.57521,            0.041956,            0.011741,           0.0040296,            0.008218,            0.008218,            0.008218
                  20,            0.042288,            0.012576,           0.0035899,             0.74976,             0.86293,              0.8533,             0.60589,            0.047575,            0.012911,           0.0039828,            0.008119,            0.008119,            0.008119
                  21,            0.038964,            0.011777,           0.0034991,             0.91358,             0.96721,             0.99023,             0.72641,            0.043553,            0.011637,           0.0041818,             0.00802,             0.00802,             0.00802
                  22,            0.040095,            0.011299,           0.0035834,             0.82542,                   1,             0.91167,              0.5166,            0.040488,            0.011364,           0.0039159,            0.007921,            0.007921,            0.007921
                  23,            0.038843,            0.011903,            0.003846,             0.81506,             0.99085,             0.92651,             0.58346,            0.042895,             0.01102,           0.0041843,            0.007822,            0.007822,            0.007822
                  24,            0.038807,             0.01145,           0.0033838,             0.99132,                   1,               0.995,             0.62694,            0.037942,            0.010929,           0.0037929,            0.007723,            0.007723,            0.007723
                  25,            0.037061,            0.011729,           0.0029828,             0.99172,                   1,               0.995,             0.65775,            0.037747,            0.010833,           0.0041557,            0.007624,            0.007624,            0.007624
                  26,             0.03552,            0.012248,           0.0027441,             0.99407,                   1,               0.995,             0.59618,             0.03727,            0.010067,           0.0036626,            0.007525,            0.007525,            0.007525
                  27,            0.034961,            0.011619,           0.0026506,              0.9673,                   1,              0.9831,             0.66449,            0.034037,            0.010313,           0.0036755,            0.007426,            0.007426,            0.007426
                  28,            0.034842,            0.011546,           0.0026897,             0.98972,                   1,               0.995,              0.5579,            0.036805,            0.010244,           0.0034791,            0.007327,            0.007327,            0.007327
                  29,            0.033312,            0.010877,           0.0025806,             0.99155,                   1,               0.995,             0.72493,            0.027382,           0.0098979,           0.0036817,            0.007228,            0.007228,            0.007228
                  30,            0.032809,            0.010252,           0.0027781,             0.99483,             0.99984,               0.995,             0.67626,             0.03437,            0.010248,           0.0034662,            0.007129,            0.007129,            0.007129
                  31,            0.032021,            0.010445,           0.0027156,             0.96608,                   1,             0.99381,             0.63362,            0.028995,           0.0095873,           0.0034479,             0.00703,             0.00703,             0.00703
