               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10026,            0.034043,            0.025194,             0.27142,             0.34941,             0.19931,            0.063548,            0.070296,            0.026257,            0.010042,            0.070462,           0.0032821,           0.0032821
                   1,            0.066918,            0.030427,            0.011022,             0.54089,             0.69722,             0.61455,             0.23384,            0.063648,            0.017667,            0.004734,            0.040396,           0.0065499,           0.0065499
                   2,            0.062294,            0.024652,           0.0064931,             0.35339,             0.58763,              0.4286,             0.18119,            0.070058,            0.015078,           0.0037276,            0.010265,           0.0097517,           0.0097517
                   3,            0.056902,            0.023928,           0.0059902,             0.74783,             0.70978,             0.78057,             0.35837,            0.053405,            0.015325,           0.0037363,            0.009703,            0.009703,            0.009703
                   4,            0.051427,            0.023061,           0.0044377,             0.69545,             0.73216,             0.75844,             0.39498,            0.046944,            0.013822,           0.0033543,            0.009703,            0.009703,            0.009703
                   5,            0.046014,            0.020888,           0.0044799,             0.69341,             0.78965,             0.77564,             0.32872,            0.048355,             0.01291,           0.0034698,            0.009604,            0.009604,            0.009604
                   6,            0.042759,            0.021923,           0.0038171,             0.86859,             0.80262,             0.88872,             0.50466,            0.042126,             0.01299,           0.0034878,            0.009505,            0.009505,            0.009505
                   7,            0.041602,            0.020913,           0.0038866,             0.88441,             0.80754,             0.88486,             0.48113,            0.041422,            0.012177,           0.0025047,            0.009406,            0.009406,            0.009406
                   8,            0.038991,            0.020433,           0.0034593,             0.80231,              0.8306,             0.87053,             0.48597,            0.039314,              0.0126,           0.0028467,            0.009307,            0.009307,            0.009307
                   9,            0.036989,            0.019413,           0.0027253,             0.86498,             0.88017,             0.91333,             0.55718,            0.040206,            0.012236,           0.0026283,            0.009208,            0.009208,            0.009208
                  10,             0.03622,             0.01973,           0.0033179,             0.85472,             0.84214,             0.88411,             0.51644,            0.039421,            0.012162,           0.0029491,            0.009109,            0.009109,            0.009109
                  11,            0.036475,            0.020124,           0.0025813,             0.88707,             0.87283,             0.89319,             0.53691,             0.03778,            0.011859,           0.0028316,             0.00901,             0.00901,             0.00901
                  12,            0.034742,            0.018385,           0.0026757,             0.81259,             0.89592,              0.8913,              0.5191,            0.038942,            0.012194,           0.0032635,            0.008911,            0.008911,            0.008911
