               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1264,             0.03912,            0.032328,          0.00099469,                0.15,           0.0079082,           0.0011152,             0.11521,            0.032959,            0.029425,              0.0901,              0.0011,              0.0011
                   1,             0.10961,             0.03883,            0.025527,          0.00018882,               0.025,          0.00011244,          2.2487e-05,             0.10308,            0.033752,             0.02374,            0.079277,           0.0022772,           0.0022772
                   2,             0.09514,            0.037794,            0.019124,            0.037804,                 0.9,             0.16103,            0.035756,            0.087527,            0.034733,            0.016751,            0.068431,           0.0034307,           0.0034307
                   3,            0.082399,            0.036307,            0.014538,             0.75507,               0.475,             0.53694,             0.18716,            0.087725,            0.033825,            0.013406,             0.05756,           0.0045604,           0.0045604
                   4,            0.078084,            0.030545,            0.011772,             0.32298,             0.71695,              0.5445,             0.19876,            0.081979,            0.029961,            0.010457,            0.046666,           0.0056664,           0.0056664
                   5,            0.076945,            0.028582,            0.010112,              0.3854,                 0.7,              0.4682,             0.22063,            0.090785,            0.024681,           0.0075867,            0.035749,           0.0067485,           0.0067485
                   6,            0.081949,            0.025029,           0.0084013,             0.15867,                 0.6,             0.18384,            0.040287,             0.10181,            0.023289,           0.0070633,            0.024807,            0.007807,            0.007807
                   7,            0.080343,            0.022824,            0.007055,             0.45948,             0.89146,             0.61327,             0.18655,            0.078422,            0.023151,           0.0054565,            0.013842,           0.0088416,           0.0088416
                   8,            0.078023,            0.020989,              0.0063,             0.70554,             0.77467,             0.73422,             0.28198,            0.079133,            0.019505,           0.0057545,            0.009208,            0.009208,            0.009208
                   9,            0.071401,            0.021711,           0.0057448,             0.32146,                 0.9,             0.69781,             0.18656,            0.085069,            0.019157,           0.0061951,            0.009208,            0.009208,            0.009208
                  10,            0.071948,            0.021571,           0.0056232,             0.20989,                0.85,             0.28006,             0.08301,            0.083557,            0.018692,            0.005801,            0.009109,            0.009109,            0.009109
                  11,            0.068569,             0.01916,           0.0055017,             0.39562,             0.78006,             0.49149,             0.18158,             0.07018,            0.017048,           0.0052746,             0.00901,             0.00901,             0.00901
                  12,            0.064546,            0.018845,           0.0053865,             0.32988,                0.95,             0.63771,             0.21906,            0.066436,            0.018127,           0.0053446,            0.008911,            0.008911,            0.008911
                  13,            0.062017,            0.017522,           0.0047292,             0.89635,               0.825,             0.91882,             0.42175,            0.054008,            0.016994,            0.004583,            0.008812,            0.008812,            0.008812
                  14,            0.058119,            0.018075,           0.0046002,             0.71161,               0.775,             0.84735,             0.35314,            0.061128,            0.016319,           0.0047844,            0.008713,            0.008713,            0.008713
                  15,            0.053531,            0.017478,           0.0043984,             0.76022,             0.81545,             0.94321,             0.62155,            0.055363,            0.016594,           0.0040361,            0.008614,            0.008614,            0.008614
                  16,            0.052461,            0.016761,           0.0043593,             0.46072,               0.725,              0.7081,             0.23246,            0.051432,            0.015339,           0.0042816,            0.008515,            0.008515,            0.008515
                  17,            0.050964,            0.017574,           0.0041554,             0.93934,             0.88313,             0.95422,             0.34202,            0.047476,            0.014519,           0.0040369,            0.008416,            0.008416,            0.008416
                  18,            0.047941,            0.017278,           0.0038064,             0.79529,             0.84384,             0.92083,             0.47169,            0.055032,            0.013901,           0.0040567,            0.008317,            0.008317,            0.008317
                  19,            0.047995,             0.01694,           0.0039186,             0.72441,             0.98877,             0.95254,             0.51989,            0.041086,            0.013601,           0.0038239,            0.008218,            0.008218,            0.008218
                  20,            0.045531,            0.017183,           0.0038731,             0.62591,             0.84475,             0.87228,             0.38867,            0.055946,            0.014463,            0.003886,            0.008119,            0.008119,            0.008119
                  21,            0.046143,            0.015974,           0.0035591,             0.80041,             0.92207,             0.96892,              0.4365,            0.045693,            0.013006,           0.0038584,             0.00802,             0.00802,             0.00802
                  22,            0.042923,            0.015693,           0.0034821,             0.70054,               0.875,             0.83556,             0.39347,            0.046451,            0.013454,           0.0040207,            0.007921,            0.007921,            0.007921
                  23,            0.043849,            0.014413,           0.0036805,             0.99713,             0.97201,               0.995,             0.63296,            0.037039,            0.012747,           0.0039804,            0.007822,            0.007822,            0.007822
                  24,            0.042377,            0.014386,           0.0035476,             0.87783,                   1,               0.995,             0.58771,            0.041161,              0.0126,           0.0044323,            0.007723,            0.007723,            0.007723
                  25,            0.040183,            0.014147,           0.0033008,             0.96384,                   1,             0.99143,             0.41723,            0.040684,            0.012733,           0.0039639,            0.007624,            0.007624,            0.007624
                  26,            0.039477,             0.01483,           0.0030565,             0.85466,             0.96783,             0.99143,             0.58538,             0.04115,            0.012489,           0.0038326,            0.007525,            0.007525,            0.007525
                  27,            0.038596,            0.014066,           0.0029897,             0.97029,                   1,               0.995,             0.57471,            0.035811,            0.012203,            0.003908,            0.007426,            0.007426,            0.007426
                  28,            0.036818,            0.014151,           0.0031536,             0.97167,             0.98996,             0.98905,              0.4642,            0.044459,             0.01273,           0.0039322,            0.007327,            0.007327,            0.007327
                  29,            0.038636,             0.01402,           0.0029756,             0.99506,                   1,               0.995,             0.60646,            0.030904,            0.011829,           0.0034647,            0.007228,            0.007228,            0.007228
                  30,            0.036527,            0.013181,           0.0029648,             0.98923,                   1,               0.995,             0.55234,            0.036803,            0.012295,           0.0034431,            0.007129,            0.007129,            0.007129
                  31,            0.036771,            0.012999,           0.0029784,             0.98732,                   1,               0.995,             0.60076,            0.033848,            0.011562,           0.0034647,             0.00703,             0.00703,             0.00703
                  32,            0.034287,            0.012684,           0.0029821,             0.98833,                   1,               0.995,             0.72648,            0.034226,            0.011839,           0.0035398,            0.006931,            0.006931,            0.006931
                  33,            0.034191,            0.012975,           0.0028011,             0.98848,                   1,               0.995,             0.64158,            0.029795,            0.011385,           0.0036903,            0.006832,            0.006832,            0.006832
                  34,             0.03478,            0.012755,           0.0027606,             0.99252,                   1,               0.995,             0.70759,            0.039339,            0.011795,           0.0036207,            0.006733,            0.006733,            0.006733
                  35,            0.034549,            0.011606,           0.0026392,              0.9912,                   1,               0.995,             0.65097,             0.03281,            0.011242,           0.0034559,            0.006634,            0.006634,            0.006634
                  36,            0.033825,            0.012698,           0.0024416,             0.98932,                   1,               0.995,             0.79987,            0.031442,             0.01095,           0.0034691,            0.006535,            0.006535,            0.006535
                  37,            0.032405,            0.011982,           0.0027564,             0.94359,                   1,             0.99045,             0.66044,             0.03254,            0.011074,           0.0034508,            0.006436,            0.006436,            0.006436
                  38,            0.032378,             0.01144,           0.0026138,             0.99259,                   1,               0.995,             0.78166,            0.027771,             0.01119,           0.0034096,            0.006337,            0.006337,            0.006337
                  39,            0.029686,            0.012129,           0.0024965,             0.99068,                   1,               0.995,             0.68734,            0.028572,            0.010735,           0.0035194,            0.006238,            0.006238,            0.006238
                  40,            0.031064,            0.011624,           0.0027286,             0.99384,                   1,               0.995,             0.76172,            0.031096,            0.011061,           0.0035873,            0.006139,            0.006139,            0.006139
                  41,            0.031081,            0.012252,           0.0026146,             0.99576,                   1,               0.995,             0.68072,             0.02835,            0.010902,           0.0033422,             0.00604,             0.00604,             0.00604
                  42,            0.030402,             0.01205,           0.0026654,             0.99414,                   1,               0.995,             0.71444,            0.030318,              0.0107,            0.003257,            0.005941,            0.005941,            0.005941
                  43,            0.029959,            0.011254,           0.0024525,             0.99505,                   1,               0.995,             0.75248,            0.025144,            0.010391,           0.0031872,            0.005842,            0.005842,            0.005842
                  44,            0.029038,            0.011827,           0.0023799,             0.99455,                   1,               0.995,              0.7719,             0.02789,            0.010347,           0.0032394,            0.005743,            0.005743,            0.005743
                  45,            0.029012,            0.010927,           0.0023623,             0.99268,                   1,               0.995,             0.76408,             0.02672,            0.010517,           0.0032476,            0.005644,            0.005644,            0.005644
                  46,            0.028126,            0.012193,           0.0024806,             0.99491,                   1,               0.995,              0.7306,            0.027933,             0.01026,           0.0031456,            0.005545,            0.005545,            0.005545
                  47,            0.027986,            0.011273,             0.00225,             0.99575,                   1,               0.995,             0.80609,            0.024216,            0.010078,           0.0030481,            0.005446,            0.005446,            0.005446
                  48,            0.027967,            0.011123,           0.0023026,             0.99638,                   1,               0.995,             0.74435,            0.029023,            0.010437,           0.0030092,            0.005347,            0.005347,            0.005347
                  49,            0.028259,            0.011861,           0.0023276,             0.99595,                   1,               0.995,             0.78395,             0.02402,             0.01021,           0.0029491,            0.005248,            0.005248,            0.005248
                  50,            0.026858,            0.011263,           0.0021356,             0.99603,                   1,               0.995,             0.71772,             0.02928,            0.010387,           0.0029655,            0.005149,            0.005149,            0.005149
                  51,             0.02724,            0.011104,           0.0021785,             0.99616,                   1,               0.995,             0.77296,            0.025176,           0.0098133,           0.0028769,             0.00505,             0.00505,             0.00505
                  52,            0.026974,            0.011022,            0.002108,             0.99615,                   1,               0.995,             0.78981,            0.025703,           0.0098972,           0.0028318,            0.004951,            0.004951,            0.004951
                  53,            0.026335,            0.010583,           0.0020474,             0.99507,                   1,               0.995,             0.79985,            0.023542,           0.0095539,           0.0027935,            0.004852,            0.004852,            0.004852
                  54,             0.02593,            0.010597,           0.0021499,             0.99507,                   1,               0.995,             0.79725,            0.025984,           0.0098724,           0.0027313,            0.004753,            0.004753,            0.004753
                  55,            0.025223,            0.010564,           0.0020383,             0.99468,                   1,               0.995,             0.77772,            0.024351,           0.0097637,           0.0027401,            0.004654,            0.004654,            0.004654
                  56,            0.025173,            0.010359,           0.0020317,              0.9953,                   1,               0.995,             0.76981,            0.027052,           0.0099525,           0.0027352,            0.004555,            0.004555,            0.004555
                  57,            0.026205,            0.010795,           0.0022339,             0.99521,                   1,               0.995,             0.82752,            0.021606,           0.0094757,           0.0027536,            0.004456,            0.004456,            0.004456
                  58,            0.023305,            0.010537,           0.0021015,             0.99549,                   1,               0.995,             0.79149,            0.027192,             0.00984,           0.0027268,            0.004357,            0.004357,            0.004357
                  59,            0.025791,            0.010737,            0.002068,             0.99524,                   1,               0.995,             0.81137,             0.02238,           0.0093307,           0.0027564,            0.004258,            0.004258,            0.004258
                  60,            0.024049,            0.010777,           0.0020379,             0.99571,                   1,               0.995,             0.83804,            0.024192,           0.0093689,           0.0028665,            0.004159,            0.004159,            0.004159
