               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092394,             0.03473,            0.023118,             0.41563,             0.41692,             0.33603,             0.13032,            0.067855,            0.024539,           0.0080059,            0.070462,           0.0032821,           0.0032821
                   1,            0.062566,            0.029344,           0.0083547,             0.65287,              0.5878,             0.59055,             0.20706,            0.064951,            0.014591,           0.0036166,            0.040396,           0.0065499,           0.0065499
                   2,            0.059298,            0.024212,           0.0057341,             0.53427,             0.73767,             0.61782,             0.28879,            0.054579,            0.014166,           0.0036724,            0.010265,           0.0097517,           0.0097517
                   3,            0.053829,             0.02193,           0.0046167,             0.59767,             0.74759,             0.68194,             0.32097,            0.049759,            0.012317,           0.0034096,            0.009703,            0.009703,            0.009703
                   4,            0.046055,            0.020736,           0.0040572,             0.55931,             0.78394,             0.70233,             0.36039,            0.047238,            0.012665,           0.0038494,            0.009703,            0.009703,            0.009703
                   5,            0.040315,            0.018357,           0.0036461,             0.78849,             0.88296,             0.86548,             0.53357,            0.041602,            0.011939,           0.0037371,            0.009604,            0.009604,            0.009604
                   6,            0.039037,            0.019105,           0.0031919,             0.78188,             0.86704,             0.87038,              0.5039,            0.038744,            0.011729,           0.0035653,            0.009505,            0.009505,            0.009505
                   7,            0.036913,            0.019148,           0.0032909,             0.86457,             0.89003,             0.90113,             0.47983,             0.03937,            0.012195,           0.0028789,            0.009406,            0.009406,            0.009406
                   8,            0.035582,            0.018174,           0.0031303,             0.78517,             0.87088,             0.87789,              0.5425,             0.03721,            0.011853,           0.0032666,            0.009307,            0.009307,            0.009307
                   9,             0.03445,            0.018404,           0.0020485,             0.87261,             0.88946,             0.90149,             0.56927,            0.035073,            0.011672,           0.0026544,            0.009208,            0.009208,            0.009208
                  10,            0.034285,            0.018735,           0.0031412,             0.86347,             0.86767,             0.90017,             0.59774,            0.036793,            0.011472,           0.0026134,            0.009109,            0.009109,            0.009109
                  11,            0.032525,            0.017808,           0.0026641,             0.88124,             0.89236,             0.91988,             0.55385,            0.037982,            0.011919,           0.0024777,             0.00901,             0.00901,             0.00901
                  12,            0.032358,            0.018914,           0.0022506,             0.88102,             0.88097,             0.91844,             0.55594,            0.033187,             0.01177,           0.0026827,            0.008911,            0.008911,            0.008911
                  13,            0.031044,            0.017558,           0.0022588,             0.92355,             0.86062,             0.93146,             0.59885,            0.033405,            0.011985,           0.0027202,            0.008812,            0.008812,            0.008812
                  14,             0.03089,            0.018281,           0.0024636,             0.85706,             0.88941,             0.92183,             0.61838,             0.03303,            0.011776,           0.0027755,            0.008713,            0.008713,            0.008713
                  15,            0.029777,            0.016617,           0.0021004,             0.89343,             0.92126,             0.93889,              0.5957,            0.034818,            0.011441,           0.0027838,            0.008614,            0.008614,            0.008614
                  16,            0.029704,            0.016486,           0.0017994,              0.8839,             0.92783,             0.92805,             0.59565,            0.034595,              0.0114,           0.0025316,            0.008515,            0.008515,            0.008515
                  17,            0.029148,            0.017303,           0.0017199,             0.89663,             0.91778,             0.92748,             0.62519,            0.033582,            0.011271,           0.0026567,            0.008416,            0.008416,            0.008416
                  18,            0.029393,            0.017411,            0.001798,             0.92763,             0.87139,             0.94199,             0.64806,            0.031673,            0.011191,           0.0026227,            0.008317,            0.008317,            0.008317
                  19,             0.02847,            0.016426,           0.0019486,             0.91159,             0.88575,              0.9246,              0.6121,            0.033119,             0.01171,           0.0027694,            0.008218,            0.008218,            0.008218
                  20,            0.027432,            0.016647,           0.0017472,             0.87995,             0.90875,             0.92701,             0.62146,            0.035589,            0.012081,           0.0027527,            0.008119,            0.008119,            0.008119
                  21,            0.027714,             0.01639,           0.0014611,             0.90088,             0.89892,             0.92021,             0.66129,            0.032104,             0.01136,           0.0025243,             0.00802,             0.00802,             0.00802
                  22,            0.026735,            0.015832,           0.0013583,             0.89984,             0.90301,             0.92763,             0.64586,            0.031799,            0.011841,           0.0026755,            0.007921,            0.007921,            0.007921
                  23,            0.026623,            0.016777,           0.0014265,             0.89129,             0.90663,             0.92805,             0.65656,            0.031473,            0.011276,           0.0024957,            0.007822,            0.007822,            0.007822
                  24,            0.025281,            0.016099,           0.0014824,             0.85061,             0.89546,             0.88701,             0.61037,            0.032201,            0.011209,            0.010565,            0.007723,            0.007723,            0.007723
                  25,            0.025527,            0.016271,           0.0017758,             0.88079,             0.91369,             0.91882,             0.63763,            0.030728,            0.011743,           0.0025712,            0.007624,            0.007624,            0.007624
                  26,             0.02497,            0.014988,           0.0015017,             0.89984,             0.90272,             0.92493,             0.65902,            0.030336,            0.011051,           0.0028704,            0.007525,            0.007525,            0.007525
                  27,            0.025761,            0.015495,           0.0013646,             0.89502,             0.90531,             0.93806,             0.63861,            0.031241,            0.010833,           0.0026177,            0.007426,            0.007426,            0.007426
                  28,            0.024407,            0.015638,           0.0015077,             0.90367,             0.89978,               0.937,             0.66106,            0.032011,            0.011257,           0.0025594,            0.007327,            0.007327,            0.007327
                  29,            0.024294,            0.015521,           0.0013263,             0.91184,             0.89913,             0.92517,             0.69133,                0.03,            0.011186,           0.0025189,            0.007228,            0.007228,            0.007228
                  30,            0.024564,            0.015263,           0.0012788,             0.88402,             0.89095,             0.92752,              0.6647,            0.031735,            0.011634,           0.0028058,            0.007129,            0.007129,            0.007129
                  31,            0.024219,            0.015556,           0.0011523,             0.90794,             0.90894,             0.93877,             0.68247,            0.029923,              0.0113,           0.0024856,             0.00703,             0.00703,             0.00703
                  32,            0.024238,            0.014907,           0.0012624,             0.88313,             0.89488,             0.91889,             0.64844,            0.030685,            0.011342,           0.0038348,            0.006931,            0.006931,            0.006931
                  33,            0.023722,            0.015245,           0.0012446,             0.88586,             0.92383,             0.92963,             0.67384,            0.030616,            0.011397,           0.0027427,            0.006832,            0.006832,            0.006832
                  34,             0.02395,            0.015265,           0.0015225,             0.89821,             0.91186,             0.93004,             0.68979,            0.030152,            0.011026,           0.0025981,            0.006733,            0.006733,            0.006733
                  35,            0.022059,            0.014784,           0.0009858,             0.88784,             0.91271,             0.93185,             0.68012,            0.030244,            0.011552,           0.0030308,            0.006634,            0.006634,            0.006634
                  36,            0.023404,            0.014497,          0.00093716,             0.91228,             0.89344,             0.93723,             0.68159,            0.030501,            0.011129,           0.0026567,            0.006535,            0.006535,            0.006535
                  37,            0.023693,            0.014621,          0.00092555,             0.89085,             0.89414,             0.93013,             0.67196,            0.031742,             0.01094,           0.0026636,            0.006436,            0.006436,            0.006436
