               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12479,            0.034071,            0.028093,          0.00015581,               0.025,          9.0447e-05,          1.8089e-05,              0.1081,            0.037911,            0.025302,              0.0901,              0.0011,              0.0011
                   1,             0.10216,            0.040123,            0.023591,           0.0034109,               0.525,           0.0054485,           0.0010022,            0.090549,            0.040978,            0.021459,            0.079277,           0.0022772,           0.0022772
                   2,            0.087964,            0.038225,            0.019245,             0.72831,               0.425,             0.41287,              0.1167,            0.078812,            0.039449,             0.01669,            0.068431,           0.0034307,           0.0034307
                   3,            0.075845,             0.03663,            0.014561,              0.5258,             0.78192,             0.78004,             0.32302,            0.069699,            0.037577,             0.01022,             0.05756,           0.0045604,           0.0045604
                   4,            0.072029,            0.031322,            0.010233,             0.19129,             0.45604,             0.26167,             0.10546,            0.077609,            0.033048,           0.0067683,            0.046666,           0.0056664,           0.0056664
                   5,            0.075559,            0.028272,           0.0085014,              0.4341,                0.85,             0.58645,             0.20611,            0.078135,            0.026482,           0.0051525,            0.035749,           0.0067485,           0.0067485
                   6,            0.084073,            0.022406,           0.0068241,              0.4763,             0.47633,             0.56644,             0.29498,              0.0817,            0.023107,           0.0048491,            0.024807,            0.007807,            0.007807
                   7,            0.079587,            0.023259,           0.0068146,             0.32146,              0.6607,             0.46738,             0.25894,            0.082958,            0.021749,            0.004773,            0.013842,           0.0088416,           0.0088416
                   8,            0.076148,            0.022373,           0.0061814,             0.26481,             0.96292,             0.32427,             0.11014,            0.069795,            0.022038,           0.0039518,            0.009208,            0.009208,            0.009208
                   9,            0.074253,            0.018761,            0.005533,              0.2059,                 0.5,             0.22353,            0.058451,            0.093814,            0.018421,           0.0036105,            0.009208,            0.009208,            0.009208
                  10,            0.078165,            0.017117,            0.005012,             0.62181,             0.75592,             0.71198,             0.27333,            0.081597,            0.018378,           0.0045723,            0.009109,            0.009109,            0.009109
                  11,            0.071218,            0.018398,           0.0058587,             0.56359,                0.85,             0.67191,             0.23461,            0.066358,            0.018208,           0.0046107,             0.00901,             0.00901,             0.00901
                  12,            0.068089,            0.017162,            0.005514,             0.66697,             0.86086,             0.82824,             0.29066,            0.070587,            0.017333,           0.0044596,            0.008911,            0.008911,            0.008911
                  13,            0.064426,            0.015979,           0.0052072,             0.74997,             0.81097,             0.98417,             0.38232,            0.065991,             0.01516,           0.0043924,            0.008812,            0.008812,            0.008812
                  14,            0.061967,            0.015572,           0.0048628,             0.56117,                 0.9,             0.75769,             0.29288,             0.05949,            0.014744,           0.0039858,            0.008713,            0.008713,            0.008713
                  15,            0.057819,            0.016378,           0.0042777,             0.73243,                0.85,             0.84544,             0.45793,            0.055568,            0.013863,           0.0039961,            0.008614,            0.008614,            0.008614
                  16,            0.054325,            0.015035,           0.0038786,             0.86572,             0.85776,             0.97436,             0.43805,            0.057197,            0.014454,            0.003914,            0.008515,            0.008515,            0.008515
                  17,            0.052244,            0.014005,           0.0037042,             0.87739,                0.85,             0.94185,             0.40434,            0.050923,            0.013213,           0.0037344,            0.008416,            0.008416,            0.008416
                  18,            0.049973,            0.014914,           0.0036004,             0.72522,               0.775,             0.89482,             0.32222,            0.057187,            0.013633,           0.0039871,            0.008317,            0.008317,            0.008317
                  19,            0.049647,            0.014487,           0.0036197,             0.98241,             0.99608,               0.995,             0.52263,            0.044337,            0.012177,            0.003981,            0.008218,            0.008218,            0.008218
                  20,            0.047546,            0.013781,           0.0036569,             0.92688,               0.875,              0.9453,              0.3862,            0.060982,             0.01329,           0.0041018,            0.008119,            0.008119,            0.008119
                  21,             0.04982,            0.012814,           0.0034162,             0.98862,                   1,               0.995,             0.64086,             0.04158,            0.011209,           0.0038618,             0.00802,             0.00802,             0.00802
                  22,            0.046256,            0.012182,            0.003126,             0.76472,               0.825,             0.92804,             0.48566,            0.052501,            0.012337,           0.0036684,            0.007921,            0.007921,            0.007921
                  23,            0.047662,            0.012624,           0.0034182,             0.98906,                   1,               0.995,             0.58437,             0.04321,            0.011025,           0.0037258,            0.007822,            0.007822,            0.007822
                  24,            0.044905,            0.012353,           0.0032519,             0.99244,             0.99641,               0.995,             0.50571,            0.054525,             0.01232,           0.0041723,            0.007723,            0.007723,            0.007723
                  25,            0.045022,            0.012936,           0.0031791,              0.9905,                   1,               0.995,             0.71669,            0.041095,            0.010784,           0.0043622,            0.007624,            0.007624,            0.007624
                  26,             0.04362,             0.01289,           0.0029601,             0.99085,                   1,               0.995,             0.57006,            0.047593,            0.011867,           0.0044848,            0.007525,            0.007525,            0.007525
                  27,            0.040717,            0.012884,           0.0030163,             0.98844,                   1,               0.995,             0.67864,            0.037505,            0.010594,           0.0044254,            0.007426,            0.007426,            0.007426
                  28,            0.038958,            0.012554,           0.0032768,             0.99104,                   1,               0.995,             0.52013,            0.042692,            0.011857,            0.004375,            0.007327,            0.007327,            0.007327
                  29,            0.035841,            0.012368,           0.0034394,             0.98281,             0.99921,               0.995,               0.696,            0.029791,            0.011356,           0.0042783,            0.007228,            0.007228,            0.007228
                  30,              0.0345,            0.011856,           0.0031279,             0.98059,              0.9824,               0.995,             0.56004,            0.039084,            0.012012,           0.0041329,            0.007129,            0.007129,            0.007129
                  31,            0.034384,             0.01203,           0.0028213,             0.99362,                   1,               0.995,             0.70358,            0.027468,             0.01064,           0.0038392,             0.00703,             0.00703,             0.00703
                  32,            0.032145,            0.012227,           0.0026176,             0.98301,             0.99159,               0.995,             0.57192,            0.035933,            0.011494,           0.0038665,            0.006931,            0.006931,            0.006931
                  33,            0.034191,            0.011693,           0.0025554,             0.99274,                   1,               0.995,             0.54134,             0.03043,            0.010457,           0.0035016,            0.006832,            0.006832,            0.006832
                  34,            0.032225,            0.012005,           0.0022848,             0.99253,                   1,               0.995,             0.66424,            0.033807,            0.010352,            0.003605,            0.006733,            0.006733,            0.006733
                  35,            0.032575,            0.010359,           0.0025682,             0.99208,                   1,               0.995,             0.67914,            0.027569,           0.0098667,            0.003577,            0.006634,            0.006634,            0.006634
                  36,            0.031198,            0.011263,           0.0024977,             0.99239,                   1,               0.995,             0.61133,             0.03683,            0.011102,           0.0036024,            0.006535,            0.006535,            0.006535
                  37,            0.031153,            0.010764,           0.0022979,             0.99279,                   1,               0.995,             0.76705,            0.025683,           0.0097304,           0.0034763,            0.006436,            0.006436,            0.006436
                  38,            0.030206,            0.011598,           0.0025117,             0.99303,                   1,               0.995,             0.57493,            0.034611,            0.010803,           0.0033153,            0.006337,            0.006337,            0.006337
                  39,             0.02939,            0.011948,           0.0022685,             0.99258,                   1,               0.995,             0.78213,            0.026403,           0.0097344,           0.0033612,            0.006238,            0.006238,            0.006238
                  40,            0.028486,             0.01102,           0.0025286,             0.99319,                   1,               0.995,             0.66154,             0.03067,            0.010217,           0.0032813,            0.006139,            0.006139,            0.006139
                  41,            0.028555,            0.010724,           0.0023891,             0.99419,                   1,               0.995,             0.74739,            0.025977,           0.0099116,           0.0032953,             0.00604,             0.00604,             0.00604
                  42,            0.028211,            0.010444,           0.0021463,             0.99257,                   1,               0.995,             0.68883,            0.029923,            0.010148,           0.0036345,            0.005941,            0.005941,            0.005941
                  43,            0.028274,            0.010851,           0.0024008,             0.99481,                   1,               0.995,             0.82635,            0.023694,           0.0097506,           0.0033791,            0.005842,            0.005842,            0.005842
                  44,            0.026986,            0.009682,           0.0020525,             0.99345,                   1,               0.995,             0.70316,            0.028008,             0.01028,           0.0033743,            0.005743,            0.005743,            0.005743
                  45,            0.026313,            0.010154,           0.0021489,             0.99349,                   1,               0.995,             0.84456,            0.021681,           0.0092891,           0.0030736,            0.005644,            0.005644,            0.005644
                  46,            0.026944,           0.0098417,           0.0020695,             0.99256,                   1,               0.995,             0.73757,              0.0279,            0.010036,           0.0030905,            0.005545,            0.005545,            0.005545
